query_id,claim_id,claim
20992,75587,Former lawmaker Maria Corina Machado is leading the vote count in the Venezuelan opposition's presidential primary
20992,62946,"The results of the primary have been suspended by Venezuela's Supreme Justice Tribunal, risking the wrath of the United States"
20992,19140,The U.S. government is offering the government of Nicolas Maduro a deal to promote a free election in Venezuela
20992,78479,The primary was organized without state help and attracted more than 2.3 million voters
20992,11849,The U.S. government has said it will reinstate sanctions if Maduro does not lift bans on opposition candidates and free political prisoners by the end of November
46196,20324,"The House committee investigating the January 6th attack on the U.S. Capitol has released its final report, recommending criminal charges against former President Donald Trump and calling for him to be barred from holding federal office."
46196,37696,"The report, which is over 800 pages long, details the committee's findings and includes evidence of Trump's role in inciting the attack."
46196,59866,"The committee also made 11 recommendations for safeguarding democracy and preventing future attacks, including clarifying the ceremonial role of the vice president in the transition of power and increasing law enforcement efforts against extremist groups."
46196,68311,Trump and his allies continue to deny the findings of the report and falsely claim that the 2020 election was stolen.
46196,89175,The Department of Justice will now determine whether to pursue criminal charges against Trump based on the committee's referral.
46196,49028,"Several Republican lawmakers, including Kevin McCarthy, Jim Jordan, Scott Perry, and Andy Biggs, have been referred to the House Ethics Committee for failure to comply with subpoenas from the committee."
46196,44739,The committee's recommendations and findings are expected to inform future legislation and efforts to strengthen democracy and prevent similar attacks in the future.
46196,63576,The report highlights the dangerous consequences of Trump's false claims about the election and the need to protect the integrity of American elections.
46196,88784,The committee's investigation lasted roughly 18 months and included multiple public hearings and the review of thousands of documents.
46196,49578,The report concludes that the attack on the Capitol was an unprecedented assault on democracy and that measures must be taken to prevent future attacks and hold those responsible accountable.
46196,52578,The committee's findings are expected to contribute to ongoing efforts to hold accountable those who participated in the attack and to ensure the security of the Capitol and other government buildings.
46196,79904,The report underscores the importance of an informed and active citizenry in protecting democracy and upholding the rule of law.
66761,34570,Venezuela's opposition will hold a primary on Sunday to pick its candidate for the 2024 presidential elections.
66761,24121,"At least a dozen people, including some who are barred from participating in politics, have said they will run in the primary."
66761,65147,The opposition hopes to rally supporters after years of attempts to unseat President Nicolas Maduro.
66761,44775,The primary is the opposition's first since 2012.
66761,49376,The opposition's National Primary Commission will meet with the National Electoral Council to discuss voting centers and other logistics.
66761,37879,"Venezuelan authorities have disqualified some opposition candidates, including Maria Corina Machado, a leading hopeful."
66761,14279,Maduro has not set a date for the 2024 vote but has intimated it could be moved earlier.
66761,48828,The United States is monitoring reports of Chinese warships docking in Cambodia and has concerns about Beijing's plans to control parts of the main naval base there.
21919,25162,The criminal charges against former President Donald Trump related to efforts to overturn the results of the 2020 presidential election are some of the most serious allegations facing him.
21919,42119,"The Federal Bureau of Investigation has estimated that 2,000 people may have been involved in the storming of the U.S. Capitol on Jan. 6, 2021, and considers the attack an act of domestic terrorism."
21919,36656,The House select committee investigating the attack is weighing criminal referrals for Trump and a number of his closest allies.
21919,57334,"The committee is set to sunset on Dec. 31, but it plans to release a comprehensive report and vote on criminal referrals by Dec. 21."
21919,45815,"The committee's referrals would largely be symbolic, as they lack prosecutorial powers, and the Justice Department has its own ongoing criminal investigations into the attack."
21919,18245,The committee is likely to make criminal referrals for former President Donald Trump and other individuals involved in the Jan. 6 attack on the Capitol.
21919,81175,"The committee has held public hearings and plans to present a comprehensive report before the end of the month, which will include information not previously made public."
21919,39464,The criminal referrals will be a separate document from the committee's final report and will be sent to the Department of Justice.
21919,40610,The committee aims to hold individuals accountable and ensure that nothing falls through the cracks in the investigation.
21919,70978,The committee is considering criminal referrals for the main organizers and leaders of the Jan. 6 attack.
21919,69584,"The committee's decision on criminal referrals is still a work in progress, and the final list of individuals to be referred is not yet finalized."
21919,48399,"The committee is taking a unified approach on criminal referrals, but the decision on who to refer and for what offenses is still being discussed."
21919,30399,The decision on criminal referrals has led to vigorous debate among committee members.
21919,24492,The committee is considering criminal referrals for former President Donald Trump for his role in the attempt to overturn the 2020 election and the fomenting of the Capitol riot.
21919,17988,"The committee is also considering criminal referrals for other Trump associates, but the scope of the referrals is still being discussed."
21919,66425,The committee is focusing on the masterminds and ring
21919,38555,"leaders of the attack, but there may be others worthy of prosecution and other statutes that Trump violated."
21919,82725,The committee has recommended criminal referrals for Trump and his allies for their efforts to overturn the 2020 election.
21919,19774,"The criminal referrals are largely symbolic, as the committee lacks prosecutorial powers and the Justice Department can conduct its own criminal investigations into the Capitol attack."
21919,48920,The committee has warned that failing to hold Trump and other election deniers accountable could threaten the security and viability of the republic.
21919,32592,The committee's final report will be released to the public and will include evidence of Trump's efforts to overturn the election.
21919,51628,"The committee's final report and criminal referrals are expected to be introduced in a public format, but the exact format is uncertain."
21919,28040,"The committee is urging the Department of Justice to consider a range of charges against Trump, including obstruction of an official proceeding, conspiracy to defraud the government, and inciting or assisting an insurrection."
21919,63652,"The committee's criminal referrals do not carry any legal weight, but they represent a symbolic rebuke of Trump and his allies."
21919,41254,The committee's criminal referrals are part of their effort to hold Trump and his allies accountable and ensure that nothing falls between the cracks in the investigation.
21919,82804,The committee is currently finalizing its plans to issue at least three criminal referrals for former President Donald Trump.
21919,28630,The committee will be recommending that the Justice Department pursue at least three criminal charges against Trump related to the Capitol riot.
21919,23196,"The committee's criminal referrals carry no official legal weight, but it is up to the Justice Department to decide whether to charge Trump and others."
21919,17112,The committee's criminal referrals are seen as a critical part of their work and a way to put their views on the record and complete their investigation.
21919,83588,"The committee is not expected to release the names of individuals subject to criminal referral at this point, but they may do so by Friday."
21919,13151,"The committee is considering criminal referrals for other individuals besides Trump, but their names have not been released."
21919,36162,The committee plans to vote on the final list of criminal referrals this week and may share their plans by Friday.
21919,30651,"The criminal referrals will be a separate document from the committee's final report, which is expected to be released before the end of the month."
21919,59472,The House select committee investigating the Jan. 6 attack on the Capitol has voted to recommend that the Justice Department pursue criminal charges against former President Donald Trump.
21919,82412,Trump is now the first president to be formally referred by Congress for potential prosecution.
21919,45070,The committee's final meeting was the culmination of a 17
21919,12466,"month investigation that included more than 1,200 witness interviews and the collection of hundreds of thousands of documents."
21919,83812,"The committee has urged the Justice Department to consider charges of obstruction of an official proceeding, conspiracy to defraud the government, making knowingly and willfully materially false statements to the federal government, and inciting or assisting an insurrection."
21919,47149,"The criminal referrals do not carry any legal weight, but they represent a symbolic rebuke of Trump and his actions related to the Capitol riot."
21919,29114,"The committee has recommended a criminal referral to the Department of Justice for conservative attorney John Eastman, who the committee says was the architect of a scheme to pressure then"
21919,55928,Vice President Mike Pence to reject states' electoral votes on Jan. 6 and have fake electors submitted instead.
21919,67179,The committee has also referred four Republican members of Congress to the House Ethics Committee for defying subpoenas from the committee.
21919,55147,"The committee's final report is set to be released to the public on Wednesday, and it is expected to present a comprehensive case against Trump and his allies."
21919,57872,"The committee's recommendations come after nearly 18 months of investigation, during which it issued more than 100 subpoenas, held public hearings, and collected hundreds of thousands of documents."
21919,79231,"The Justice Department is already conducting a criminal probe of Trump for his role in the Jan. 6 riot, but the criminal referrals from the committee will add to the legal pressure he is facing."
21919,16962,The committee's criminal referrals are a significant step toward holding Trump and his allies accountable for their actions on Jan. 6 and ensuring that nothing falls through the cracks in the investigation.
88669,20147,"Russian President Vladimir Putin sent up to 200,000 soldiers into Ukraine on February 24, 2022, with the goal of demilitarizing and denazifying the country."
88669,15348,"The initial invasion plan failed, and Putin's goals have since been adjusted to focus on the ""liberation of Donbas,"" referring to the eastern regions of Luhansk and Donetsk."
88669,38398,"The war has become protracted, with a significant number of Russian retreats and little success in achieving the goal of Donbas liberation."
88669,83120,"Russia's biggest success in the war is establishing a land bridge from its border to Crimea, allowing the country to rely less on the Kerch Strait."
88669,64568,"The war has exposed the brutality and inadequacy of the Russian military, with Western nations providing support to Ukraine and promising never to be divided by Russia."
88669,70723,"The fight for Donbas continues, with Russia capturing Soledar this year and aiming to recapture other lost territory and extend control."
88669,58852,President Putin has indicated a willingness to use nuclear weapons if necessary to protect Russia and maintain occupied Ukrainian land.
88669,20222,The war is ongoing with no clear end in sight.
86274,53212,Five armed Palestinian groups joined Hamas in the deadly October 7 attack on Israel after training together in military
86274,27951,style exercises from 2020 onwards.
86274,20234,They practised hostage
86274,33856,"taking, raiding compounds, and breaching Israel's defenses during these exercises."
86274,41872,"The first drill was held on December 29, 2020, and was followed by three other joint drills over the next three years."
86274,64030,"Hamas leader Ismail Haniyeh declared the drills as a ""strong message and a sign of unity"" between Gaza's armed factions."
86274,75924,"The groups involved in the drills included Palestinian Islamic Jihad (PIJ), the Mujahideen Brigades, and Al"
86274,60670,Nasser Salah al
86274,87672,"Deen Brigades, among others."
86274,51661,"These groups claimed to have participated in the assault on Israel on October 7, with three of them claiming to have seized Israeli hostages."
86274,28847,The role of these groups has come into focus as pressure builds on Hamas to locate the hostages.
86274,88571,Efforts to extend the temporary truce in Gaza were said to be hinging on Hamas finding the hostages.
86274,38384,All the groups involved in the drills shared a willingness to use violence against Israel.
86274,23526,The drills simulated the liberation of settlements near Gaza and aimed to show that Gaza's borders would not protect Israel.
86274,12400,The Israel Defense Forces (IDF) bombed the site used for the first drill in April 2023.
86274,44661,The IDF had intelligence on the training activities but did not see what the groups were training for.
86274,45845,The drills were designed to be realistic and took place in close proximity to the Gaza
86274,23537,Israel border.
